V,II
-0.402,6.15E-05
-0.399,6.14E-05
-0.396,6.13E-05
-0.393,6.11E-05
-0.39,6.10E-05
-0.387,6.08E-05
-0.384,6.07E-05
-0.381,6.05E-05
-0.378,6.04E-05
-0.375,6.03E-05
-0.372,6.02E-05
-0.369,6.00E-05
-0.366,6.00E-05
-0.363,5.99E-05
-0.36,5.98E-05
-0.357,5.97E-05
-0.354,5.97E-05
-0.351,5.96E-05
-0.348,5.96E-05
-0.345,5.96E-05
-0.342,5.95E-05
-0.339,5.95E-05
-0.336,5.95E-05
-0.333,5.95E-05
-0.33,5.95E-05
-0.327,5.94E-05
-0.324,5.94E-05
-0.321,5.94E-05
-0.318,5.94E-05
-0.315,5.94E-05
-0.312,5.94E-05
-0.309,5.93E-05
-0.306,5.93E-05
-0.303,5.93E-05
-0.3,5.93E-05
-0.297,5.93E-05
-0.294,5.93E-05
-0.291,5.93E-05
-0.288,5.93E-05
-0.285,5.93E-05
-0.282,5.93E-05
-0.279,5.93E-05
-0.276,5.93E-05
-0.273,5.93E-05
-0.27,5.93E-05
-0.267,5.93E-05
-0.264,5.93E-05
-0.261,5.93E-05
-0.258,5.93E-05
-0.255,5.93E-05
-0.252,5.93E-05
-0.249,5.94E-05
-0.246,5.94E-05
-0.243,5.94E-05
-0.24,5.94E-05
-0.237,5.94E-05
-0.234,5.94E-05
-0.231,5.94E-05
-0.228,5.94E-05
-0.225,5.94E-05
-0.222,5.94E-05
-0.219,5.95E-05
-0.216,5.95E-05
-0.213,5.95E-05
-0.21,5.95E-05
-0.207,5.96E-05
-0.204,5.96E-05
-0.201,5.96E-05
-0.198,5.97E-05
-0.195,5.97E-05
-0.192,5.98E-05
-0.189,5.99E-05
-0.186,5.99E-05
-0.183,6.00E-05
-0.18,6.01E-05
-0.177,6.02E-05
-0.174,6.03E-05
-0.171,6.04E-05
-0.168,6.05E-05
-0.165,6.06E-05
-0.162,6.08E-05
-0.159,6.09E-05
-0.156,6.11E-05
-0.153,6.12E-05
-0.15,6.14E-05
-0.147,6.16E-05
-0.144,6.18E-05
-0.141,6.20E-05
-0.138,6.23E-05
-0.135,6.25E-05
-0.132,6.28E-05
-0.129,6.31E-05
-0.126,6.34E-05
-0.123,6.37E-05
-0.12,6.41E-05
-0.117,6.45E-05
-0.114,6.49E-05
-0.111,6.54E-05
-0.108,6.59E-05
-0.105,6.64E-05
-0.102,6.70E-05
-0.099,6.77E-05
-0.096,6.84E-05
-0.093,6.92E-05
-0.09,7.01E-05
-0.087,7.11E-05
-0.084,7.22E-05
-0.081,7.33E-05
-0.078,7.45E-05
-0.075,7.58E-05
-0.072,7.71E-05
-0.069,7.83E-05
-0.066,7.94E-05
-0.063,8.02E-05
-0.06,8.05E-05
-0.057,7.97E-05
-0.054,7.77E-05
-0.051,7.50E-05
-0.048,7.27E-05
-0.045,7.09E-05
-0.042,6.97E-05
-0.039,6.88E-05
-0.036,6.82E-05
-0.033,6.79E-05
-0.03,6.78E-05
-0.027,6.78E-05
-0.024,6.78E-05
-0.021,6.80E-05
-0.018,6.82E-05
-0.015,6.84E-05
-0.012,6.86E-05
-0.009,6.88E-05
-0.006,6.90E-05
-0.003,6.91E-05
0,6.92E-05
0.003,6.92E-05
0.006,6.91E-05
0.009,6.89E-05
0.012,6.86E-05
0.015,6.81E-05
0.018,6.75E-05
0.021,6.68E-05
0.024,6.59E-05
0.027,6.50E-05
0.03,6.42E-05
0.033,6.34E-05
0.036,6.28E-05
0.039,6.22E-05
0.042,6.19E-05
0.045,6.16E-05
0.048,6.13E-05
0.051,6.10E-05
0.054,6.08E-05
0.057,6.06E-05
0.06,6.04E-05
0.063,6.02E-05
0.066,5.99E-05
0.069,5.97E-05
0.072,5.95E-05
0.075,5.93E-05
0.078,5.91E-05
0.081,5.89E-05
0.084,5.87E-05
0.087,5.85E-05
0.09,5.83E-05
0.093,5.81E-05
0.096,5.79E-05
0.099,5.77E-05
0.102,5.75E-05
0.105,5.73E-05
0.108,5.72E-05
0.111,5.70E-05
0.114,5.68E-05
0.117,5.67E-05
0.12,5.65E-05
0.123,5.64E-05
0.126,5.62E-05
0.129,5.61E-05
0.132,5.60E-05
0.135,5.58E-05
0.138,5.57E-05
0.141,5.56E-05
0.144,5.55E-05
0.147,5.54E-05
0.15,5.53E-05
0.153,5.52E-05
0.156,5.51E-05
0.159,5.50E-05
0.162,5.49E-05
0.165,5.49E-05
0.168,5.48E-05
0.171,5.47E-05
0.174,5.46E-05
0.177,5.46E-05
0.18,5.45E-05
0.183,5.44E-05
0.186,5.44E-05
0.189,5.43E-05
0.192,5.43E-05
0.195,5.42E-05
